"audio,labels"
"anurans/LEEC40__0__20161126_183000_aa_min_02.wav,anurans"
"anurans/LEEC40__0__20161128_221500_aa_min_02.wav,anurans"
"anurans/LEEC40__0__20161201_213000_aa_min_10.wav,anurans"
"anurans/LEEC40__0__20161204_200000_aa_min_02.wav,anurans"
"anurans/LEEC40__0__20161206_200000_aa_min_02.wav,anurans"
"anurans/LEEC40__0__20161207_204500_aa_min_10.wav,anurans"
"anurans/LEEC40__0__20161211_200000_aa_min_10.wav,anurans"
"anurans/LEEC40__0__20161218_221500_aa_min_10.wav,anurans"
"anurans/LEEC40__0__20161219_191500_aa_min_02.wav,anurans"
"anurans/LEEC40__0__20161222_204500_aa_min_10.wav,anurans"
"anurans/LEEC40__0__20161228_204500_br_min_02.wav,anurans"
"anurans/LEEC40__0__20161230_221500_br_min_02.wav,anurans"
"anurans/LEEC40__0__20170109_204500_br_min_10.wav,anurans"
"anurans/LEEC40__0__20170109_213000_br_min_02.wav,anurans"
"anurans/LEEC40__0__20170109_213000_br_min_10.wav,anurans"
"anurans/LEEC40__0__20170115_183000_br_min_10.wav,anurans"
"anurans/LEEC40__0__20170122_200000_br_min_02.wav,anurans"
"anurans/LEEC40__0__20170124_200000_br_min_02.wav,anurans"
"anurans/LEEC41__0__20161021_213000_ma_min_02.wav,anurans"
"anurans/LEEC41__0__20161022_191500_ma_min_02.wav,anurans"
"anurans/LEEC41__0__20161028_200000_ma_min_10.wav,anurans"
"anurans/LEEC41__0__20161029_204500_ma_min_02.wav,anurans"
"anurans/LEEC41__0__20161101_183000_ma_min_02.wav,anurans"
"anurans/LEEC41__0__20161102_191500_ma_min_02.wav,anurans"
"anurans/LEEC41__0__20161103_213000_ma_min_02.wav,anurans"
"anurans/LEEC41__0__20161104_204500_ma_min_10.wav,anurans"
"anurans/LEEC41__0__20161106_183000_ma_min_10.wav,anurans"
"anurans/LEEC41__0__20161107_191500_ma_min_10.wav,anurans"
"anurans/LEEC41__0__20161107_200000_ma_min_02.wav,anurans"
"anurans/LEEC41__0__20161118_200000_aa_min_02.wav,anurans"
"anurans/LEEC41__0__20161118_213000_aa_min_02.wav,anurans"
"anurans/LEEC41__0__20161122_191500_aa_min_10.wav,anurans"
"anurans/LEEC41__0__20161124_213000_aa_min_02.wav,anurans"
"anurans/LEEC41__0__20161124_221500_aa_min_10.wav,anurans"
"anurans/LEEC41__0__20161126_204500_aa_min_02.wav,anurans"
"anurans/LEEC41__0__20161128_183000_aa_min_10.wav,anurans"
"anurans/LEEC41__0__20161203_213000_aa_min_10.wav,anurans"
"anurans/LEEC41__0__20161207_204500_aa_min_10.wav,anurans"
"anurans/LEEC41__0__20161211_221500_aa_min_02.wav,anurans"
"anurans/LEEC41__0__20161213_191500_aa_min_02.wav,anurans"
"anurans/LEEC41__0__20161214_191500_aa_min_02.wav,anurans"
"anurans/LEEC41__0__20161214_213000_aa_min_10.wav,anurans"
"anurans/LEEC41__0__20161220_213000_aa_min_02.wav,anurans"
"anurans/LEEC41__0__20161229_191500_br_min_02.wav,anurans"
"anurans/LEEC41__0__20161229_204500_br_min_02.wav,anurans"
"anurans/LEEC41__0__20161231_204500_br_min_02.wav,anurans"
"anurans/LEEC41__0__20170106_191500_br_min_02.wav,anurans"
"anurans/LEEC41__0__20170107_200000_br_min_10.wav,anurans"
"anurans/LEEC41__0__20170109_204500_br_min_10.wav,anurans"
"anurans/LEEC41__0__20170115_191500_br_min_02.wav,anurans"
"anurans/LEEC41__0__20170116_204500_br_min_02.wav,anurans"
"anurans/LEEC41__0__20170118_183000_br_min_10.wav,anurans"
"anurans/LEEC41__0__20170120_204500_br_min_02.wav,anurans"
"anurans/LEEC41__0__20170123_213000_br_min_10.wav,anurans"
"anurans/LEEC42__0__20161020_221500_ma_min_02.wav,anurans"
"anurans/LEEC42__0__20161023_191500_ma_min_02.wav,anurans"
"anurans/LEEC42__0__20161025_204500_ma_min_10.wav,anurans"
"anurans/LEEC42__0__20161027_213000_ma_min_02.wav,anurans"
"anurans/LEEC42__0__20161102_183000_ma_min_02.wav,anurans"
"anurans/LEEC42__0__20161106_183000_ma_min_10.wav,anurans"
"anurans/LEEC42__0__20161112_221500_ma_min_10.wav,anurans"
"anurans/LEEC42__0__20161116_204500_ma_min_02.wav,anurans"
"anurans/LEEC42__0__20161119_191500_aa_min_02.wav,anurans"
"anurans/LEEC42__0__20161124_221500_aa_min_02.wav,anurans"
"anurans/LEEC42__0__20161130_221500_aa_min_02.wav,anurans"
"anurans/LEEC42__0__20161201_183000_aa_min_02.wav,anurans"
"anurans/LEEC42__0__20161210_200000_aa_min_02.wav,anurans"
"anurans/LEEC42__0__20161211_183000_aa_min_02.wav,anurans"
"anurans/LEEC42__0__20161214_213000_aa_min_10.wav,anurans"
"anurans/LEEC42__0__20161230_221500_br_min_10.wav,anurans"
"anurans/LEEC42__0__20161231_191500_br_min_02.wav,anurans"
"anurans/LEEC42__0__20170105_183000_br_min_02.wav,anurans"
"anurans/LEEC42__0__20170105_221500_br_min_02.wav,anurans"
"anurans/LEEC42__0__20170107_191500_br_min_10.wav,anurans"
"anurans/LEEC42__0__20170115_213000_br_min_10.wav,anurans"
"anurans/LEEC42__0__20170117_191500_br_min_02.wav,anurans"
"anurans/LEEC42__0__20170117_213000_br_min_10.wav,anurans"
"anurans/LEEC42__0__20170118_204500_br_min_10.wav,anurans"
"anurans/LEEC42__0__20170121_213000_br_min_02.wav,anurans"
"anurans/LEEC42__0__20170125_191500_br_min_10.wav,anurans"
"anurans/LEEC42__0__20170125_200000_br_min_10.wav,anurans"
"anurans/LEEC43__0__20161020_191500_ma_min_02.wav,anurans"
"anurans/LEEC43__0__20161020_213000_ma_min_10.wav,anurans"
"anurans/LEEC43__0__20161021_191500_ma_min_02.wav,anurans"
"anurans/LEEC43__0__20161022_183000_ma_min_10.wav,anurans"
"anurans/LEEC43__0__20161024_200000_ma_min_10.wav,anurans"
"anurans/LEEC43__0__20161027_191500_ma_min_02.wav,anurans"
"anurans/LEEC43__0__20161029_204500_ma_min_02.wav,anurans"
"anurans/LEEC43__0__20161101_213000_ma_min_10.wav,anurans"
"anurans/LEEC43__0__20161102_200000_ma_min_02.wav,anurans"
"anurans/LEEC43__0__20161102_204500_ma_min_10.wav,anurans"
"anurans/LEEC43__0__20161106_200000_ma_min_10.wav,anurans"
"anurans/LEEC43__0__20161106_213000_ma_min_10.wav,anurans"
"anurans/LEEC43__0__20161106_221500_ma_min_02.wav,anurans"
"anurans/LEEC43__0__20161107_221500_ma_min_02.wav,anurans"
"anurans/LEEC43__0__20161110_213000_ma_min_10.wav,anurans"
"anurans/LEEC43__0__20161115_213000_ma_min_10.wav,anurans"
"anurans/LEEC43__0__20161207_213000_aa_min_02.wav,anurans"
"anurans/LEEC43__0__20161208_213000_aa_min_02.wav,anurans"
"anurans/LEEC43__0__20161215_213000_aa_min_10.wav,anurans"
"anurans/LEEC43__0__20161216_213000_aa_min_02.wav,anurans"
"anurans/LEEC43__0__20161219_200000_aa_min_10.wav,anurans"
"anurans/LEEC43__0__20161220_183000_aa_min_10.wav,anurans"
"anurans/LEEC43__0__20161221_183000_aa_min_02.wav,anurans"
"anurans/LEEC43__0__20161229_221500_br_min_10.wav,anurans"
"anurans/LEEC43__0__20170101_204500_br_min_10.wav,anurans"
"anurans/LEEC43__0__20170107_221500_br_min_02.wav,anurans"
"anurans/LEEC43__0__20170109_204500_br_min_10.wav,anurans"
"anurans/LEEC43__0__20170110_183000_br_min_02.wav,anurans"
"anurans/LEEC43__0__20170110_204500_br_min_10.wav,anurans"
"anurans/LEEC43__0__20170113_191500_br_min_10.wav,anurans"
"anurans/LEEC43__0__20170119_204500_br_min_10.wav,anurans"
"anurans/LEEC43__0__20170120_221500_br_min_02.wav,anurans"
"anurans/LEEC43__0__20170121_191500_br_min_02.wav,anurans"
"anurans/LEEC43__0__20170123_200000_br_min_10.wav,anurans"
"anurans/LEEC43__0__20170124_183000_br_min_02.wav,anurans"
"anurans/LEEC43__0__20170124_200000_br_min_10.wav,anurans"
"anurans/LEEC45__0__20161019_200000_ma_min_02.wav,anurans"
"anurans/LEEC45__0__20161019_200000_ma_min_10.wav,anurans"
"anurans/LEEC45__0__20161022_204500_ma_min_10.wav,anurans"
"anurans/LEEC45__0__20161025_204500_ma_min_02.wav,anurans"
"anurans/LEEC45__0__20161029_191500_ma_min_10.wav,anurans"
"anurans/LEEC45__0__20161031_191500_ma_min_10.wav,anurans"
"anurans/LEEC45__0__20161105_213000_ma_min_10.wav,anurans"
"anurans/LEEC45__0__20161110_183000_ma_min_10.wav,anurans"
"anurans/LEEC45__0__20161111_204500_ma_min_10.wav,anurans"
"anurans/LEEC45__0__20161114_213000_ma_min_10.wav,anurans"
"anurans/LEEC45__0__20161116_221500_ma_min_10.wav,anurans"
"anurans/LEEC45__0__20161118_200000_aa_min_10.wav,anurans"
"anurans/LEEC45__0__20161120_221500_aa_min_10.wav,anurans"
"anurans/LEEC45__0__20161122_213000_aa_min_10.wav,anurans"
"anurans/LEEC45__0__20161127_221500_aa_min_02.wav,anurans"
"anurans/LEEC45__0__20161129_221500_aa_min_02.wav,anurans"
"anurans/LEEC45__0__20161130_200000_aa_min_02.wav,anurans"
"anurans/LEEC45__0__20161201_191500_aa_min_10.wav,anurans"
"anurans/LEEC45__0__20161203_200000_aa_min_02.wav,anurans"
"anurans/LEEC45__0__20161205_204500_aa_min_02.wav,anurans"
"anurans/LEEC45__0__20161205_204500_aa_min_10.wav,anurans"
"anurans/LEEC45__0__20161207_191500_aa_min_10.wav,anurans"
"anurans/LEEC45__0__20161207_204500_aa_min_02.wav,anurans"
"anurans/LEEC45__0__20161208_200000_aa_min_02.wav,anurans"
"anurans/LEEC45__0__20161215_191500_aa_min_02.wav,anurans"
"anurans/LEEC45__0__20161218_221500_aa_min_02.wav,anurans"
"anurans/LEEC45__0__20161219_191500_aa_min_10.wav,anurans"
"anurans/LEEC45__0__20161219_213000_aa_min_02.wav,anurans"
"anurans/LEEC45__1__20170101_183000_br_min_10.wav,anurans"
"anurans/LEEC45__1__20170101_213000_br_min_10.wav,anurans"
"anurans/LEEC45__1__20170106_213000_br_min_02.wav,anurans"
"anurans/LEEC45__1__20170112_200000_br_min_02.wav,anurans"
"anurans/LEEC45__1__20170115_183000_br_min_10.wav,anurans"
"anurans/LEEC45__1__20170115_200000_br_min_10.wav,anurans"
"anurans/LEEC45__1__20170117_183000_br_min_02.wav,anurans"
"anurans/LEEC45__1__20170118_191500_br_min_10.wav,anurans"
"anurans/LEEC48__0__20161019_200000_ma_min_10.wav,anurans"
"anurans/LEEC48__0__20161020_213000_ma_min_02.wav,anurans"
"anurans/LEEC48__0__20161102_213000_ma_min_10.wav,anurans"
"anurans/LEEC48__0__20161111_200000_ma_min_10.wav,anurans"
"anurans/LEEC48__0__20161122_183000_aa_min_10.wav,anurans"
"anurans/LEEC48__0__20161123_221500_aa_min_02.wav,anurans"
"anurans/LEEC48__0__20161125_183000_aa_min_02.wav,anurans"
"anurans/LEEC48__0__20161126_200000_aa_min_02.wav,anurans"
"anurans/LEEC48__0__20161129_213000_aa_min_02.wav,anurans"
"anurans/LEEC48__0__20161130_204500_aa_min_10.wav,anurans"
"anurans/LEEC48__0__20161202_221500_aa_min_02.wav,anurans"
"anurans/LEEC48__0__20161205_221500_aa_min_10.wav,anurans"
"anurans/LEEC48__0__20161207_183000_aa_min_02.wav,anurans"
"anurans/LEEC48__0__20161207_200000_aa_min_10.wav,anurans"
"anurans/LEEC48__0__20161208_191500_aa_min_10.wav,anurans"
"anurans/LEEC48__0__20161210_200000_aa_min_10.wav,anurans"
"anurans/LEEC48__0__20161212_200000_aa_min_02.wav,anurans"
"anurans/LEEC48__0__20161213_221500_aa_min_02.wav,anurans"
"anurans/LEEC48__0__20161217_191500_aa_min_10.wav,anurans"
"anurans/LEEC48__0__20161217_200000_aa_min_02.wav,anurans"
"anurans/LEEC48__0__20161219_204500_aa_min_02.wav,anurans"
"anurans/LEEC48__0__20161219_221500_aa_min_02.wav,anurans"
"anurans/LEEC48__0__20161229_221500_br_min_02.wav,anurans"
"anurans/LEEC48__0__20170110_183000_br_min_02.wav,anurans"
"anurans/LEEC48__0__20170123_191500_br_min_02.wav,anurans"
"anurans/LEEC48__0__20170123_200000_br_min_02.wav,anurans"
"anurans/LEEC49__0__20161020_183000_ma_min_10.wav,anurans"
"anurans/LEEC49__0__20161021_191500_ma_min_10.wav,anurans"
"anurans/LEEC49__0__20161021_213000_ma_min_10.wav,anurans"
"anurans/LEEC49__0__20161023_200000_ma_min_02.wav,anurans"
"anurans/LEEC49__0__20161023_200000_ma_min_10.wav,anurans"
"anurans/LEEC49__0__20161024_183000_ma_min_10.wav,anurans"
"anurans/LEEC49__0__20161024_221500_ma_min_02.wav,anurans"
"anurans/LEEC49__0__20161025_204500_ma_min_10.wav,anurans"
"anurans/LEEC49__0__20161028_221500_ma_min_10.wav,anurans"
"anurans/LEEC49__0__20161029_191500_ma_min_02.wav,anurans"
"anurans/LEEC49__0__20161031_191500_ma_min_02.wav,anurans"
"anurans/LEEC49__0__20161106_213000_ma_min_10.wav,anurans"
"anurans/LEEC49__0__20161108_191500_ma_min_10.wav,anurans"
"anurans/LEEC49__0__20161111_200000_ma_min_02.wav,anurans"
"anurans/LEEC49__0__20161112_183000_ma_min_10.wav,anurans"
"anurans/LEEC49__0__20161116_213000_ma_min_02.wav,anurans"
"anurans/LEEC49__0__20161120_200000_aa_min_10.wav,anurans"
"anurans/LEEC49__0__20161121_183000_aa_min_10.wav,anurans"
"anurans/LEEC49__0__20161125_204500_aa_min_10.wav,anurans"
"anurans/LEEC49__0__20161126_221500_aa_min_02.wav,anurans"
"anurans/LEEC49__0__20161128_200000_aa_min_02.wav,anurans"
"anurans/LEEC49__0__20161130_200000_aa_min_10.wav,anurans"
"anurans/LEEC49__0__20161209_200000_aa_min_02.wav,anurans"
"anurans/LEEC49__0__20161209_204500_aa_min_02.wav,anurans"
"anurans/LEEC49__0__20161210_221500_aa_min_02.wav,anurans"
"anurans/LEEC49__0__20161213_204500_aa_min_10.wav,anurans"
"anurans/LEEC49__0__20161214_204500_aa_min_02.wav,anurans"
"anurans/LEEC49__0__20161218_221500_aa_min_02.wav,anurans"
"anurans/LEEC49__0__20170114_213000_br_min_02.wav,anurans"
"anurans/LEEC49__0__20170115_221500_br_min_02.wav,anurans"
"anurans/LEEC49__0__20170118_213000_br_min_10.wav,anurans"
"anurans/LEEC49__0__20170119_204500_br_min_02.wav,anurans"
"anurans/LEEC49__0__20170120_183000_br_min_10.wav,anurans"
"anurans/LEEC49__0__20170125_200000_br_min_02.wav,anurans"
"birds/LEEC02__0__20161204_063000_ma_min_15.wav,birds"
"birds/LEEC02__0__20161211_071500_ma_min_02.wav,birds"
"birds/LEEC02__0__20170110_063000_aa_min_02.wav,birds"
"birds/LEEC02__0__20170111_050000_aa_min_02.wav,birds"
"birds/LEEC02__0__20170115_063000_aa_min_15.wav,birds"
"birds/LEEC02__0__20170116_071500_aa_min_15.wav,birds"
"birds/LEEC02__0__20170118_071500_aa_min_02.wav,birds"
"birds/LEEC02__0__20170121_063000_aa_min_02.wav,birds"
"birds/LEEC02__0__20170122_050000_aa_min_02.wav,birds"
"birds/LEEC02__0__20170127_050000_aa_min_02.wav,birds"
"birds/LEEC02__0__20170127_063000_aa_min_02.wav,birds"
"birds/LEEC03__0__20161022_050000_ma_min_02.wav,birds"
"birds/LEEC03__0__20161022_054500_ma_min_15.wav,birds"
"birds/LEEC03__0__20161022_071500_ma_min_15.wav,birds"
"birds/LEEC03__0__20161026_071500_ma_min_02.wav,birds"
"birds/LEEC03__0__20161029_054500_ma_min_02.wav,birds"
"birds/LEEC03__0__20161029_071500_ma_min_02.wav,birds"
"birds/LEEC03__0__20161029_080000_ma_min_02.wav,birds"
"birds/LEEC03__0__20161031_063000_ma_min_15.wav,birds"
"birds/LEEC03__0__20161101_050000_ma_min_15.wav,birds"
"birds/LEEC03__0__20161101_063000_ma_min_02.wav,birds"
"birds/LEEC03__0__20161102_050000_ma_min_15.wav,birds"
"birds/LEEC03__0__20161105_080000_ma_min_02.wav,birds"
"birds/LEEC03__0__20161106_080000_ma_min_15.wav,birds"
"birds/LEEC03__0__20161111_080000_ma_min_15.wav,birds"
"birds/LEEC03__0__20161117_054500_ma_min_15.wav,birds"
"birds/LEEC03__0__20161117_063000_ma_min_02.wav,birds"
"birds/LEEC03__0__20161117_080000_ma_min_15.wav,birds"
"birds/LEEC03__0__20161118_071500_ma_min_02.wav,birds"
"birds/LEEC03__0__20161118_080000_ma_min_02.wav,birds"
"birds/LEEC03__0__20161123_050000_aa_min_02.wav,birds"
"birds/LEEC03__0__20161126_063000_aa_min_15.wav,birds"
"birds/LEEC03__0__20161128_063000_aa_min_15.wav,birds"
"birds/LEEC03__0__20161201_050000_aa_min_15.wav,birds"
"birds/LEEC03__0__20161201_054500_aa_min_02.wav,birds"
"birds/LEEC03__0__20161201_054500_aa_min_15.wav,birds"
"birds/LEEC03__0__20161203_054500_aa_min_15.wav,birds"
"birds/LEEC03__0__20161204_071500_aa_min_15.wav,birds"
"birds/LEEC03__0__20170103_080000_br_min_15.wav,birds"
"birds/LEEC03__0__20170107_071500_br_min_02.wav,birds"
"birds/LEEC03__0__20170110_063000_br_min_02.wav,birds"
"birds/LEEC03__0__20170110_080000_br_min_02.wav,birds"
"birds/LEEC03__0__20170115_050000_br_min_02.wav,birds"
"birds/LEEC03__0__20170117_063000_br_min_02.wav,birds"
"birds/LEEC03__0__20170118_050000_br_min_02.wav,birds"
"birds/LEEC03__0__20170118_054500_br_min_02.wav,birds"
"birds/LEEC03__0__20170118_080000_br_min_02.wav,birds"
"birds/LEEC03__0__20170125_063000_br_min_15.wav,birds"
"birds/LEEC04__0__20161231_063000_br_min_15.wav,birds"
"birds/LEEC04__0__20161231_080000_br_min_15.wav,birds"
"birds/LEEC04__0__20170106_071500_br_min_02.wav,birds"
"birds/LEEC04__0__20170109_071500_br_min_02.wav,birds"
"birds/LEEC04__0__20170110_050000_br_min_02.wav,birds"
"birds/LEEC04__0__20170115_054500_br_min_15.wav,birds"
"birds/LEEC04__0__20170123_050000_br_min_15.wav,birds"
"birds/LEEC04__0__20170123_063000_br_min_02.wav,birds"
"birds/LEEC04__0__20170123_080000_br_min_02.wav,birds"
"birds/LEEC04__0__20170124_054500_br_min_15.wav,birds"
"birds/LEEC04__0__20170127_080000_br_min_02.wav,birds"
"birds/LEEC05__0__20161022_071500_ma_min_15.wav,birds"
"birds/LEEC05__0__20161026_063000_ma_min_02.wav,birds"
"birds/LEEC05__0__20161026_071500_ma_min_02.wav,birds"
"birds/LEEC05__0__20161026_080000_ma_min_15.wav,birds"
"birds/LEEC05__0__20161029_050000_ma_min_02.wav,birds"
"birds/LEEC05__0__20161030_071500_ma_min_02.wav,birds"
"birds/LEEC05__0__20161108_050000_ma_min_02.wav,birds"
"birds/LEEC05__0__20161109_054500_ma_min_15.wav,birds"
"birds/LEEC05__0__20161112_063000_ma_min_02.wav,birds"
"birds/LEEC05__0__20161113_071500_ma_min_02.wav,birds"
"birds/LEEC05__0__20161116_054500_ma_min_02.wav,birds"
"birds/LEEC05__0__20161117_071500_ma_min_15.wav,birds"
"birds/LEEC05__0__20161117_080000_ma_min_02.wav,birds"
"birds/LEEC05__0__20161120_080000_ma_min_15.wav,birds"
"birds/LEEC05__0__20161129_080000_aa_min_02.wav,birds"
"birds/LEEC05__0__20161203_054500_aa_min_15.wav,birds"
"birds/LEEC05__0__20161204_054500_aa_min_15.wav,birds"
"birds/LEEC05__0__20161208_054500_aa_min_15.wav,birds"
"birds/LEEC05__0__20161210_063000_aa_min_15.wav,birds"
"birds/LEEC05__0__20161217_054500_aa_min_02.wav,birds"
"birds/LEEC05__0__20161218_080000_aa_min_15.wav,birds"
"birds/LEEC05__0__20161219_054500_aa_min_15.wav,birds"
"birds/LEEC05__0__20161227_080000_aa_min_02.wav,birds"
"birds/LEEC05__0__20161229_063000_aa_min_02.wav,birds"
"birds/LEEC05__0__20170104_071500_br_min_15.wav,birds"
"birds/LEEC05__0__20170106_063000_br_min_02.wav,birds"
"birds/LEEC05__0__20170109_071500_br_min_15.wav,birds"
"birds/LEEC05__0__20170110_071500_br_min_15.wav,birds"
"birds/LEEC05__0__20170111_071500_br_min_02.wav,birds"
"birds/LEEC05__0__20170111_080000_br_min_02.wav,birds"
"birds/LEEC05__0__20170112_080000_br_min_15.wav,birds"
"birds/LEEC05__0__20170114_071500_br_min_02.wav,birds"
"birds/LEEC05__0__20170115_050000_br_min_15.wav,birds"
"birds/LEEC05__0__20170117_071500_br_min_15.wav,birds"
"birds/LEEC05__0__20170118_063000_br_min_02.wav,birds"
"birds/LEEC05__0__20170122_071500_br_min_02.wav,birds"
"birds/LEEC05__0__20170124_050000_br_min_15.wav,birds"
"birds/LEEC05__0__20170125_080000_br_min_02.wav,birds"
"birds/LEEC05__0__20170127_050000_br_min_02.wav,birds"
"birds/LEEC06__0__20161020_050000_ma_min_15.wav,birds"
"birds/LEEC06__0__20161023_054500_ma_min_15.wav,birds"
"birds/LEEC06__0__20161023_080000_ma_min_15.wav,birds"
"birds/LEEC06__0__20161024_071500_ma_min_02.wav,birds"
"birds/LEEC06__0__20161028_071500_ma_min_15.wav,birds"
"birds/LEEC06__0__20161109_071500_ma_min_02.wav,birds"
"birds/LEEC06__0__20161110_054500_ma_min_02.wav,birds"
"birds/LEEC06__0__20161112_063000_ma_min_02.wav,birds"
"birds/LEEC06__0__20161116_080000_ma_min_15.wav,birds"
"birds/LEEC06__0__20161119_071500_aa_min_15.wav,birds"
"birds/LEEC06__0__20161121_050000_aa_min_15.wav,birds"
"birds/LEEC06__0__20161121_063000_aa_min_02.wav,birds"
"birds/LEEC06__0__20161128_054500_aa_min_02.wav,birds"
"birds/LEEC06__0__20161203_063000_aa_min_02.wav,birds"
"birds/LEEC06__0__20161211_054500_aa_min_02.wav,birds"
"birds/LEEC06__0__20161211_080000_aa_min_02.wav,birds"
"birds/LEEC06__0__20161213_054500_aa_min_02.wav,birds"
"birds/LEEC06__0__20161219_063000_aa_min_02.wav,birds"
"birds/LEEC06__0__20161231_063000_br_min_15.wav,birds"
"birds/LEEC06__0__20170102_063000_br_min_15.wav,birds"
"birds/LEEC06__0__20170104_071500_br_min_02.wav,birds"
"birds/LEEC06__0__20170105_050000_br_min_02.wav,birds"
"birds/LEEC06__0__20170105_063000_br_min_15.wav,birds"
"birds/LEEC06__0__20170106_054500_br_min_15.wav,birds"
"birds/LEEC06__0__20170111_063000_br_min_02.wav,birds"
"birds/LEEC06__0__20170116_054500_br_min_02.wav,birds"
"birds/LEEC06__0__20170117_080000_br_min_02.wav,birds"
"birds/LEEC06__0__20170118_050000_br_min_15.wav,birds"
"birds/LEEC06__0__20170121_050000_br_min_02.wav,birds"
"birds/LEEC06__0__20170122_080000_br_min_15.wav,birds"
"birds/LEEC06__0__20170123_071500_br_min_02.wav,birds"
"birds/LEEC08__0__20161019_071500_ma_min_02.wav,birds"
"birds/LEEC08__0__20161019_080000_ma_min_02.wav,birds"
"birds/LEEC08__0__20161020_050000_ma_min_15.wav,birds"
"birds/LEEC08__0__20161021_050000_ma_min_02.wav,birds"
"birds/LEEC08__0__20161026_071500_ma_min_15.wav,birds"
"birds/LEEC08__0__20161029_080000_ma_min_15.wav,birds"
"birds/LEEC08__0__20161030_054500_ma_min_15.wav,birds"
"birds/LEEC08__0__20161030_063000_ma_min_15.wav,birds"
"birds/LEEC08__0__20161031_054500_ma_min_02.wav,birds"
"birds/LEEC08__0__20161101_063000_ma_min_15.wav,birds"
"birds/LEEC08__0__20161105_063000_ma_min_02.wav,birds"
"birds/LEEC08__0__20161107_054500_ma_min_02.wav,birds"
"birds/LEEC08__0__20161108_050000_ma_min_02.wav,birds"
"birds/LEEC08__0__20161109_050000_ma_min_02.wav,birds"
"birds/LEEC08__0__20161109_050000_ma_min_15.wav,birds"
"birds/LEEC08__0__20161111_080000_ma_min_15.wav,birds"
"birds/LEEC08__0__20161113_071500_ma_min_15.wav,birds"
"birds/LEEC08__0__20161115_063000_ma_min_15.wav,birds"
"birds/LEEC08__0__20161202_054500_aa_min_15.wav,birds"
"birds/LEEC08__0__20161204_071500_aa_min_15.wav,birds"
"birds/LEEC08__0__20161211_071500_aa_min_02.wav,birds"
"birds/LEEC08__0__20161217_054500_aa_min_15.wav,birds"
"birds/LEEC08__0__20161230_080000_br_min_15.wav,birds"
"birds/LEEC08__0__20170102_054500_br_min_15.wav,birds"
"birds/LEEC08__0__20170105_054500_br_min_15.wav,birds"
"birds/LEEC08__0__20170105_071500_br_min_15.wav,birds"
"birds/LEEC08__0__20170107_050000_br_min_02.wav,birds"
"birds/LEEC08__0__20170108_054500_br_min_02.wav,birds"
"birds/LEEC08__0__20170108_063000_br_min_15.wav,birds"
"birds/LEEC08__0__20170108_080000_br_min_15.wav,birds"
"birds/LEEC08__0__20170112_054500_br_min_02.wav,birds"
"birds/LEEC08__0__20170113_080000_br_min_02.wav,birds"
"birds/LEEC08__0__20170113_080000_br_min_15.wav,birds"
"birds/LEEC08__0__20170114_071500_br_min_02.wav,birds"
"birds/LEEC08__0__20170115_071500_br_min_15.wav,birds"
"birds/LEEC08__0__20170118_054500_br_min_02.wav,birds"
"birds/LEEC08__0__20170124_063000_br_min_15.wav,birds"
"birds/LEEC08__0__20170124_071500_br_min_02.wav,birds"
"birds/LEEC08__0__20170126_050000_br_min_02.wav,birds"
"birds/LEEC09__0__20161023_071500_ma_min_15.wav,birds"
"birds/LEEC09__0__20161028_054500_ma_min_02.wav,birds"
"birds/LEEC09__0__20161029_050000_ma_min_15.wav,birds"
"birds/LEEC09__0__20161101_063000_ma_min_15.wav,birds"
"birds/LEEC09__0__20161101_080000_ma_min_15.wav,birds"
"birds/LEEC09__0__20161105_071500_ma_min_02.wav,birds"
"birds/LEEC09__0__20161110_063000_ma_min_15.wav,birds"
"birds/LEEC09__0__20161110_071500_ma_min_15.wav,birds"
"birds/LEEC09__0__20161111_071500_ma_min_15.wav,birds"
"birds/LEEC09__0__20161113_063000_ma_min_15.wav,birds"
"birds/LEEC09__0__20161114_071500_ma_min_02.wav,birds"
"birds/LEEC09__0__20161117_071500_ma_min_02.wav,birds"
"birds/LEEC09__0__20161117_080000_ma_min_15.wav,birds"
"birds/LEEC09__0__20161121_050000_aa_min_15.wav,birds"
"birds/LEEC09__0__20161123_080000_aa_min_15.wav,birds"
"birds/LEEC09__0__20161125_063000_aa_min_02.wav,birds"
"birds/LEEC09__0__20161127_063000_aa_min_02.wav,birds"
"birds/LEEC09__0__20161128_063000_aa_min_15.wav,birds"
"birds/LEEC09__0__20161129_080000_aa_min_02.wav,birds"
"birds/LEEC09__0__20161207_050000_aa_min_02.wav,birds"
"birds/LEEC09__0__20161209_050000_aa_min_15.wav,birds"
"birds/LEEC09__0__20161209_071500_aa_min_02.wav,birds"
"birds/LEEC09__0__20161211_063000_aa_min_02.wav,birds"
"birds/LEEC09__0__20161213_050000_aa_min_15.wav,birds"
"birds/LEEC09__0__20161214_050000_aa_min_15.wav,birds"
"birds/LEEC09__0__20161217_080000_aa_min_15.wav,birds"
"birds/LEEC09__0__20161219_054500_aa_min_15.wav,birds"
"birds/LEEC09__0__20161220_080000_aa_min_02.wav,birds"
"birds/LEEC09__0__20161222_080000_aa_min_02.wav,birds"
"birds/LEEC09__0__20170102_054500_br_min_02.wav,birds"
"birds/LEEC09__0__20170104_063000_br_min_15.wav,birds"
"birds/LEEC09__0__20170110_050000_br_min_02.wav,birds"
"birds/LEEC09__0__20170113_054500_br_min_02.wav,birds"
"birds/LEEC09__0__20170117_080000_br_min_15.wav,birds"
